J4,49.71,36.59,180.00,KH-TYPE-C-16P,KH-TYPE-C-16P_KINGHELM_KH-TYPE-C-16P
L1,54.97,28.45,0.00,3.9nH,NORDIC_NRF_2_RESC0402_L
L2,46.43,29.77,90.00,10µH,NORDIC_NRF_2_RESC0402_L
L3,47.78,29.77,90.00,15nH,NORDIC_NRF_2_RESC0402_L
L5,30.07,38.53,270.00,68uH,NORDIC_NRF_2_RESC0402_L
L7,48.64,10.85,0.00,FTC252012SR47MBCA,MLP2016SR47MT0S1_INDC2016X100N
Q3,28.96,36.60,0.00,SI1308EDL-T1-GE3,ESP32_C6_LIBRARY_6_SOT65P210X110-3N
R17,57.61,15.54,0.00,3K3,CPF0201D7K68C1_0201
R18,54.81,15.54,0.00,3K3,CPF0201D7K68C1_0201
R1_EP_DR,24.94,35.94,90.00,0.47,ERA-1AEB3401C_0201
R1_USB,50.95,32.84,180.00,5K1,CPF0201D7K68C1_0201
R2,46.81,13.49,0.00,0,CPF0201D7K68C1_0201
R2_EP_DR,26.90,37.47,0.00,10K,ERA-1AEB3401C_0201
R2_USB,47.96,32.72,0.00,5K1,ERA-1AEB3401C_0201
R3,37.52,18.87,180.00,0,ERA-1AEB3401C_0201
R4,46.81,14.53,0.00,0,CPF0201D7K68C1_0201
R5,35.26,12.42,180.00,10k,CPF0201D7K68C1_0201
R7,55.96,11.86,180.00,10k,CPF0201D7K68C1_0201
R8,40.92,11.40,0.00,10k,CPF0201D7K68C1_0201
R9,39.60,15.29,270.00,10K,ERA-1AEB3401C_0201
R_PWR_EPD,36.98,12.34,0.00,10K,CPF0201D7K68C1_0201
R_TYPE_SEL,23.67,36.73,0.00,2.2,ERA-1AEB3401C_0201
SJ1,23.37,33.91,90.00,,ESP32_C6_LIBRARY_7_JUMPER_SJ
SW_DN,54.61,9.90,180.00,2025-10-22_07-23-44_LIBRARY_EVP-AKE31ASW_EVP-AKE31A_PAN,2025-10-22_07-23-44_LIBRARY_SW_EVP-AKE31A_PAN
SW_ENT,43.61,9.90,180.00,2025-10-22_07-23-44_LIBRARY_EVP-AKE31ASW_EVP-AKE31A_PAN,2025-10-22_07-23-44_LIBRARY_SW_EVP-AKE31A_PAN
SW_UP,32.61,9.87,180.00,2025-10-22_07-23-44_LIBRARY_EVP-AKE31ASW_EVP-AKE31A_PAN,2025-10-22_07-23-44_LIBRARY_SW_EVP-AKE31A_PAN
TP_3.3V,54.10,21.23,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_3V3,55.65,18.64,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_BAT_GND,25.58,14.55,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_GND,62.00,12.34,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_ON,28.30,11.79,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_OP,45.14,14.76,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_RESET,64.39,30.23,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_SCL,57.56,13.49,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_SDA,54.86,13.97,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_SWDCLK,61.87,30.07,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_SWDIO,59.03,29.82,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_SWO,48.67,18.08,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_VBAT,60.71,9.40,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_VREG,58.70,17.98,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
U1,47.19,22.78,0.00,NRF52840_QF,NORDIC_NRF_4_AQFN50P700X700X85_HS-74N
U3,61.95,16.18,0.00,MAX17048G+T10,ESP32_C6_LIBRARY_SON50P200X200X80-9N
X1,52.12,29.08,0.00,32MHz,NORDIC_NRF_BT-XTAL_2016_N
X2,39.85,23.95,90.00,"32.768kHz ",NORDIC_NRF_1_XTAL_3215_N
